/* DATA DESCRIPTION:
Citation:	Expedition 347 Scientists (2014): Carbon and sulphur content (raw data) of IODP Hole 347-M0059E. doi:10.1594/PANGAEA.839480
Related to:	Andrén, Thomas; Jørgensen, Bo Barker; Cotterill, Carol; Expedition 347 Scientists (2015): Baltic Sea Paleoenvironment. Proceedings of the IODP, Integrated Ocean Drilling Program, doi:10.2204/iodp.proc.347.2015
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 55.004750 * LONGITUDE: 10.108317
	DATE/TIME START: 2013-10-30T01:00:00 * DATE/TIME END: 2013-10-31T12:45:00
	MINIMUM DEPTH, sediment/rock: 0.1 m * MAXIMUM DEPTH, sediment/rock: 98.0 m
Event(s):	347-M0059E (BSB-3) * LATITUDE: 55.004750 * LONGITUDE: 10.108317 * DATE/TIME START: 2013-10-30T01:00:00 * DATE/TIME END: 2013-10-31T12:45:00 * ELEVATION: -37.1 m * Recovery: 95.35 m * LOCATION: Baltic Sea, Lille Belt * CAMPAIGN: Exp347 (Baltic Sea Paleoenvironment) * BASIS: Greatship Manisha (URI: http://greatshipglobal.com/) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: Drilling Depth Method (DSF): tag sea floor; Core Depth Method (CSF): let overlap if long. 37 cores, 100.8m drilled
Parameter(s):	Sample code/label (Sample code/label) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html)
	Volume [cm**3] (Vol) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html)
	Date (Date) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: of sampling
	Sample code/label 2 (Label 2) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: preliminary IGSN
	Date (Date) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: of freeze drying
	Date (Date) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: of grinding
	Date (Date) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: start of measurement
	Carbon, total [%] (TC) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Element analyser CS, LECO
	Sulphur, total [%] (TS) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Element analyser CS, LECO
	Carbon, organic, total [%] (TOC) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Element analyser CS, LECO
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	296 data points
*/
Sample code/label	Depth [m]	Depth comp [mcd]	Vol [cm**3]	Date (of sampling)	Label 2	Date (of freeze drying)	Date (of grinding)	Date (start of measurement)	TC [%]	TS [%]	TOC [%]
347-M0059E-1H-1,10-11.5	0.100	-0.118694	10	29.01.2014 09:26	IBCR0347EX2TA01	31.01.2014	01.02.2014	07.02.2014 12:42	6.3500	1.58900	5.445
347-M0059E-2H-1,45-46	3.750	4.046736	10	29.01.2014 09:49	IBCR0347EXWTA01	31.01.2014	01.02.2014	07.02.2014 12:43	7.7690	1.30700	6.501
347-M0059E-3H-1,50-51	7.100	7.467062	10	29.01.2014 10:16	IBCR0347EXCUA01	31.01.2014	01.02.2014	07.02.2014 12:45	8.9630	2.01300	7.400
347-M0059E-4H-1,50-51	10.400	10.767062	10	29.01.2014 10:47	IBCR0347EXOUA01	31.01.2014	01.02.2014	07.02.2014 12:46	7.5150	1.53500	6.172
347-M0059E-5H-1,50-51	13.700	14.067062	10	29.01.2014 11:19	IBCR0347EX2VA01	31.01.2014	01.02.2014	07.02.2014 12:48	5.9510	1.47200	4.975
347-M0059E-6H-1,28-29.5	16.780	17.147062	10	29.01.2014 11:51	IBCR0347EXKVA01	31.01.2014	01.02.2014	07.02.2014 12:49	7.3060	1.56400	6.215
347-M0059E-7H-1,34-35.5	20.140	20.507062	10	29.01.2014 12:26	IBCR0347EXWVA01	31.01.2014	01.02.2014	07.02.2014 12:51	6.6730	1.61100	5.445
347-M0059E-8H-1,67-68	23.770	24.137062	10	29.01.2014 13:01	IBCR0347EX5WA01	31.01.2014	01.02.2014	07.02.2014 12:52	6.3490	1.34900	5.076
347-M0059E-9H-1,40-41	26.800	26.276853	10	29.01.2014 13:43	IBCR0347EXPWA01	31.01.2014	01.02.2014	07.02.2014 12:54	6.3450	1.37500	5.147
347-M0059E-10H-1,65-66	30.350	29.826853	10	29.01.2014 14:22	IBCR0347EX8XA01	31.01.2014	01.02.2014	07.02.2014 12:55	5.8750	1.20100	4.554
347-M0059E-11H-1,53-54	33.530	33.006853	10	29.01.2014 14:35	IBCR0347EXDXA01	31.01.2014	01.02.2014	07.02.2014 12:57	5.6990	1.32600	4.447
347-M0059E-12H-1,58-59	36.880	36.356853	10	29.01.2014 16:01	IBCR0347EXBYA01	31.01.2014	01.02.2014	07.02.2014 13:24	5.9550	1.58300	4.707
347-M0059E-13H-1,42-43	40.020	39.496853	10	29.01.2014 16:08	IBCR0347EXJYA01	31.01.2014	01.02.2014	07.02.2014 13:26	5.3520	1.46100	4.303
347-M0059E-15H-1,54-55	46.740	46.216853	10	29.01.2014 17:01	IBCR0347EXIZA01	31.01.2014	01.02.2014	07.02.2014 13:27	6.3680	1.25500	4.850
347-M0059E-16H-1,47-48	49.970	49.446853	10	29.01.2014 17:29	IBCR0347EXL0B01	31.01.2014	01.02.2014	07.02.2014 13:29	5.7980	0.85600	5.227
347-M0059E-17H-1,98-99	53.780	54.265756	10	29.01.2014 18:02	IBCR0347EXB1B01	31.01.2014	01.02.2014	07.02.2014 13:30	4.6420	0.22100	0.446
347-M0059E-18H-1,75-76	56.850	57.335756	10	29.01.2014 18:36	IBCR0347EX42B01	31.01.2014	01.02.2014	07.02.2014 13:32	4.8120	0.21600	0.460
347-M0059E-19H-1,65-66	60.050	60.535756	10	29.01.2014 18:50	IBCR0347EXP2B01	31.01.2014	01.02.2014	07.02.2014 13:33	3.1680	0.15600	0.354
347-M0059E-20H-1,78-79	63.480	63.962495	10	29.01.2014 19:29	IBCR0347EX53B01	31.01.2014	01.02.2014	07.02.2014 13:34	3.7710	0.15100	0.428
347-M0059E-21H-1,76-77	66.760	66.381953	10	29.01.2014 19:40	IBCR0347EXS3B01	31.01.2014	01.02.2014	07.02.2014 13:36	2.1670	0.16000	0.908
347-M0059E-22H-1,74-75	70.040	69.661953	10	29.01.2014 20:31	IBCR0347EXK4B01	31.01.2014	01.02.2014	07.02.2014 13:38	4.1700	0.21400	0.508
347-M0059E-23H-1,50-51	73.100	71.831740	10	29.01.2014 20:33	IBCR0347EXL4B01	31.01.2014	01.02.2014	07.02.2014 13:39	4.3220	0.27100	0.358
347-M0059E-24H-1,50-51	76.400	75.131740	10	29.01.2014 21:10	IBCR0347EXT4B01	31.01.2014	01.02.2014	07.02.2014 13:40	3.6550	0.21000	0.484
347-M0059E-25H-1,44-45	79.640	78.371740	10	29.01.2014 21:27	IBCR0347EX55B01	31.01.2014	01.02.2014	07.02.2014 13:42	4.5490	0.28900	0.369
347-M0059E-26H-1,50-51	83.000	81.060231	10	29.01.2014 21:53	IBCR0347EXD5B01	31.01.2014	01.02.2014	07.02.2014 13:44	4.4360	0.37200	0.357
347-M0059E-27H-1,49-50	86.290	84.350231	10	30.01.2014 08:19	IBCR0347EXO5B01	04.02.2014	06.02.2014	11.02.2014 14:45	3.7630	0.40600	0.711
347-M0059E-35H-1,24.5-26	98.045	96.105231	10	30.01.2014 09:16	IBCR0347EXV5B01	04.02.2014	06.02.2014	11.02.2014 14:49	2.7810		0.157
