/* DATA DESCRIPTION:
Citation:	Expedition 347 Scientists (2014): Carbon and sulphur content (raw data) of IODP Hole 347-M0060A. doi:10.1594/PANGAEA.839481
Related to:	Andrén, Thomas; Jørgensen, Bo Barker; Cotterill, Carol; Expedition 347 Scientists (2015): Baltic Sea Paleoenvironment. Proceedings of the IODP, Integrated Ocean Drilling Program, doi:10.2204/iodp.proc.347.2015
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 56.620183 * LONGITUDE: 11.670717
	DATE/TIME START: 2013-09-23T10:00:00 * DATE/TIME END: 2013-09-28T18:10:00
	MINIMUM DEPTH, sediment/rock: 0.9 m * MAXIMUM DEPTH, sediment/rock: 203.0 m
Event(s):	347-M0060A (BSB-1) * LATITUDE: 56.620183 * LONGITUDE: 11.670717 * DATE/TIME START: 2013-09-23T10:00:00 * DATE/TIME END: 2013-09-28T18:10:00 * ELEVATION: -31.2 m * Recovery: 157.83 m * LOCATION: Baltic Sea, Kattegat * CAMPAIGN: Exp347 (Baltic Sea Paleoenvironment) * BASIS: Greatship Manisha (URI: http://greatshipglobal.com/) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: Drilling Depth Method (DSF): tag sea floor; Core Depth Method (CSF): let overlap if long. 100 cores, 231.5m drilled
Parameter(s):	Sample code/label (Sample code/label) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html)
	Volume [cm**3] (Vol) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html)
	Date (Date) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: of sampling
	Sample code/label 2 (Label 2) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: preliminary IGSN
	Date (Date) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: of freeze drying
	Date (Date) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: of grinding
	Date (Date) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * COMMENT: start of measurement
	Carbon, total [%] (TC) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Element analyser CS, LECO
	Carbon, inorganic, total [%] (TIC) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Element analyser CS, LECO
	Carbon, organic, total [%] (TOC) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Element analyser CS, LECO
	Sulphur, total [%] (TS) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Element analyser CS, LECO
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	1072 data points
*/
Sample code/label	Depth [m]	Depth comp [mcd]	Vol [cm**3]	Date (of sampling)	Label 2	Date (of freeze drying)	Date (of grinding)	Date (start of measurement)	TC [%]	TIC [%]	TOC [%]	TS [%]
347-M0060A-3H-1,90-91	0.900	0.900	10	30.01.2014 09:46	IBCR0347EXJ6B01	04.02.2014	06.02.2014	11.02.2014 14:53	0.713	0.508	0.205	
347-M0060A-4H-1,70-71.5	3.700	3.700	10	30.01.2014 10:05	IBCR0347EXK7B01	04.02.2014	06.02.2014	11.02.2014 14:57	0.316	0.313	0.003	
347-M0060A-6H-1,11-12	6.110	6.110	10	30.01.2014 10:26	IBCR0347EX08B01	04.02.2014	06.02.2014	11.02.2014 15:03	1.699	1.421	0.278	
347-M0060A-8H-1,40-41	9.400	9.400	10	30.01.2014 10:43	IBCR0347EXT8B01	04.02.2014	06.02.2014	11.02.2014 15:05	1.957	1.563	0.393	
347-M0060A-8H-2,111-112	11.610	11.610	10	30.01.2014 10:47	IBCR0347EXU8B01	04.02.2014	06.02.2014	11.02.2014 15:08	1.743	1.433	0.310	
347-M0060A-9H-1,10-11	12.400	12.400	10	30.01.2014 11:28	IBCR0347EXBBB01	04.02.2014	06.02.2014	11.02.2014 15:11	2.406	2.047	0.359	
347-M0060A-9H-2,78-79	14.580	14.580	10	30.01.2014 11:28	IBCR0347EXCBB01	04.02.2014	06.02.2014	11.02.2014 15:14	1.383	1.238	0.146	
347-M0060A-10H-1,51-52	16.110	16.110	10	30.01.2014 12:22	IBCR0347EXIEB01	04.02.2014	06.02.2014	11.02.2014 16:22	1.314	1.175	0.139	
347-M0060A-10H-2,115-117	18.260	18.260	10	30.01.2014 12:22	IBCR0347EXJEB01	04.02.2014	06.02.2014	11.02.2014 16:27	1.789	1.574	0.215	
347-M0060A-11H-1,23.5-24.5	19.135	19.135	10	30.01.2014 12:49	IBCR0347EXQGB01	04.02.2014	06.02.2014	11.02.2014 16:30	2.160	1.894	0.266	
347-M0060A-11H-2,96.5-97.5	21.365	21.365	10	30.01.2014 12:52	IBCR0347EXRGB01	04.02.2014	06.02.2014	11.02.2014 16:33	1.983	1.702	0.281	
347-M0060A-12H-1,58.5-60	22.785	22.785	10	30.01.2014 13:24	IBCR0347EXBIB01	04.02.2014	06.02.2014	11.02.2014 00:00	1.898	1.527	0.371	
347-M0060A-12H-2,96-97.5	24.660	24.660	10	30.01.2014 13:22	IBCR0347EXAIB01	04.02.2014	06.02.2014	11.02.2014 16:36	2.079	1.595	0.484	
347-M0060A-13H-1,8-9	25.580	25.580	10	30.01.2014 14:23	IBCR0347EXOMB01	04.02.2014	06.02.2014	11.02.2014 00:00	2.232	1.817	0.415	
347-M0060A-13H-2,124-125	28.240	28.240	10	30.01.2014 14:36	IBCR0347EXPMB01	04.02.2014	06.02.2014	11.02.2014 00:00	2.775	2.193	0.581	
347-M0060A-15H-1,25-26	30.750	30.750	10	30.01.2014 14:34	IBCR0347EXKMB01	04.02.2014	06.02.2014	11.02.2014 16:42	2.904	2.317	0.586	
347-M0060A-15H-2,115-116	33.150	33.150	10	30.01.2014 14:34	IBCR0347EXLMB01	04.02.2014	06.02.2014	11.02.2014 17:06	3.154	2.488	0.665	0.218
347-M0060A-16H-1,30-31	34.100	34.100	10	30.01.2014 16:14	IBCR0347EXWUB01	04.02.2014	06.02.2014	11.02.2014 00:00	2.846	2.297	0.549	
347-M0060A-16H-2,100-111	36.300	36.300	10	30.01.2014 16:15	IBCR0347EXXUB01	04.02.2014	06.02.2014	11.02.2014 00:00	2.560	2.091	0.469	
347-M0060A-17H-1,20-21	37.300	37.300	10	30.01.2014 17:06	IBCR0347EXXYB01	04.02.2014	06.02.2014	11.02.2014 00:00	3.213	2.664	0.549	
347-M0060A-17H-2,20-21	38.800	38.800	10	30.01.2014 17:06	IBCR0347EXYYB01	04.02.2014	06.02.2014	11.02.2014 00:00	3.213	2.509	0.704	
347-M0060A-18H-1,46-47	40.860	40.860	10	30.01.2014 18:06	IBCR0347EXQ4C01	04.02.2014	06.02.2014	11.02.2014 00:00	3.285	2.696	0.589	
