/* DATA DESCRIPTION:
Citation:	Expedition 347 Scientists (2014): Calculated salinity and elemental ratios of interstitial water of IODP Hole 347-M0063E. doi:10.1594/PANGAEA.839782
Related to:	Andrén, Thomas; Jørgensen, Bo Barker; Cotterill, Carol; Expedition 347 Scientists (2015): Baltic Sea Paleoenvironment. Proceedings of the IODP, Integrated Ocean Drilling Program, doi:10.2204/iodp.proc.347.2015
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 58.622167 * LONGITUDE: 18.254000
	DATE/TIME START: 2013-10-17T00:40:00 * DATE/TIME END: 2013-10-19T05:30:00
	MINIMUM DEPTH, sediment/rock: 0.8 m * MAXIMUM DEPTH, sediment/rock: 92.5 m
Event(s):	347-M0063E (BSB-9) * LATITUDE: 58.622167 * LONGITUDE: 18.254000 * DATE/TIME START: 2013-10-17T00:40:00 * DATE/TIME END: 2013-10-19T05:30:00 * ELEVATION: -437.1 m * Recovery: 127.68 m * LOCATION: Baltic Sea, Landsort Deep * CAMPAIGN: Exp347 (Baltic Sea Paleoenvironment) * BASIS: Greatship Manisha (URI: http://greatshipglobal.com/) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: Drilling Depth Method (DSF): tag sea floor; Core Depth Method (CSF): let overlap if long. 44 cores, 92.8m drilled
Parameter(s):	Sample code/label (Sample code/label) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Sample type (Samp type) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Salinity (Sal) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Calculated * COMMENT: Cl-based
	Sodium/Chlorine ratio [mmol/mol] (Na/Cl) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Calculated
	Calcium/Chlorine ratio [mmol/mol] (Ca/Cl) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Calculated
	Magnesium/Chlorine ratio [mmol/mol] (Mg/Cl) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Calculated
	Potassium/Chlorine ratio [mmol/mol] (K/Cl) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Calculated
	Bromide/Chlorine ratio [µmol/mol] (Br/Cl) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Calculated
	Boron/Chlorine ratio [µmol/mol] (B/Cl) * PI: Expedition 347 Scientists (URL: http://www.pangaea.de/ddi?request=iodp-msp/BSBP_staff&title=Expedition+347+Scientists&format=html) * METHOD: Calculated
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	776 data points
*/
Sample code/label	Samp type	Depth [m]	Sal	Na/Cl [mmol/mol]	Ca/Cl [mmol/mol]	Mg/Cl [mmol/mol]	K/Cl [mmol/mol]	Br/Cl [µmol/mol]	B/Cl [µmol/mol]
347-M0063E-1H-1,80-90	squeezed sample	0.85	10.40	0.79	0.02	0.10	0.02	1.700	1.080
347-M0063E-1H-2,20-30	squeezed sample	1.45	10.78	0.82	0.02	0.10	0.03	1.820	1.070
347-M0063E-2H-1,115-125	squeezed sample	3.20	10.68	0.89	0.02	0.12	0.03	1.770	1.160
347-M0063E-2H-2,120-130	squeezed sample	4.75	11.24	0.81	0.02	0.11	0.02	1.890	1.260
347-M0063E-3H-1,70-80	squeezed sample	4.75	11.49	0.82	0.02	0.12	0.02	1.940	1.410
347-M0063E-4H-2,67-77	squeezed sample	7.49	12.17	0.83	0.02	0.12	0.03	1.980	1.590
347-M0063E-5H-1,58-68	squeezed sample	8.63	12.14	0.84	0.02	0.12	0.03	1.970	1.540
347-M0063E-5H-2,90-90	squeezed sample		12.24	0.83	0.02	0.12	0.03	2.010	1.570
347-M0063E-6H-1,98-108	squeezed sample	11.03							
347-M0063E-6H-2,81-81	squeezed sample		12.30					2.080	
347-M0063E-7H-1,60-70	squeezed sample	12.65	12.38	0.85	0.02	0.12	0.03	2.050	1.640
347-M0063E-7H-2,121-121	squeezed sample		11.87					2.120	
347-M0063E-8H-1,90-100	squeezed sample	14.95	12.49	0.80	0.02	0.11	0.03	2.140	1.530
347-M0063E-8H-2,60-60	squeezed sample		11.55					2.160	
347-M0063E-9H-1,84-94	squeezed sample	16.89	11.59	0.87	0.02	0.12	0.03	2.200	1.730
347-M0063E-9H-2,100-100	squeezed sample		11.07	0.88	0.02	0.12	0.03	2.230	1.530
347-M0063E-10H-1,25-35	squeezed sample	18.30							
347-M0063E-10H-2,75-75	squeezed sample		10.77	0.86	0.02	0.13	0.03	2.250	1.520
347-M0063E-11H-1,90-100	squeezed sample	20.95							
347-M0063E-11H-2,112-112	squeezed sample		9.67	0.86	0.02	0.13	0.03	2.280	1.410
347-M0063E-12H-1,117-127	squeezed sample	23.22	9.78	0.83	0.03	0.12	0.03	2.290	1.240
347-M0063E-13H-1,68-78	squeezed sample	24.73	9.19	0.83	0.04	0.12	0.03	2.250	1.090
347-M0063E-14H-2,65-75	squeezed sample	26.90							
347-M0063E-15H-1,57-67	squeezed sample	28.62	7.85	0.77	0.06	0.10	0.02	2.190	0.620
347-M0063E-16H-1,114-124	squeezed sample	31.19	6.46	0.82	0.09	0.10	0.02	2.140	0.490
347-M0063E-17H-1,111-121	squeezed sample	33.16	6.06	0.78	0.13	0.11	0.01	2.140	0.310
347-M0063E-18H-1,106-116	squeezed sample	35.11	5.12	0.74	0.15	0.11	0.01	2.120	0.290
347-M0063E-19H-1,127-137	squeezed sample	37.32	4.14	0.64	0.16	0.11	0.01	2.220	0.260
347-M0063E-20H-1,135-145	squeezed sample	39.40	3.49	0.58	0.18	0.13	0.01	2.180	0.260
347-M0063E-21H-1,83-93	squeezed sample	40.88	3.02	0.57	0.21	0.15	0.01	2.240	0.340
347-M0063E-22H-1,135-140	squeezed sample	43.35	2.46	0.54	0.25	0.17	0.01	2.310	0.540
347-M0063E-23H-1,135-145	squeezed sample	45.40	1.99	0.53	0.31	0.18	0.01	2.350	0.360
347-M0063E-24H-1,115-125	squeezed sample	47.20	1.67	0.53	0.35	0.19	0.01	2.420	0.220
347-M0063E-25H-1,135-145	squeezed sample	49.40	1.25	0.59	0.43	0.22	0.01	2.620	0.240
347-M0063E-26H-1,135-145	squeezed sample	51.40	0.90	0.69	0.48	0.24	0.01	2.830	0.270
347-M0063E-27H-1,125-135	squeezed sample	53.30	0.59	0.88	0.58	0.26	0.01	3.360	0.340
