SampleID	Depth.mbsf	Salinity	TOC.pc	Sulfate.mM	CH4.mM	Ammonium.mM	Sodium.mM
X.59E-13-B	40.95	15.92	4.303	0.03	0.86	40.9	272.9
X.59E-21	67.5	7.48	0.908	0.01	4.84	0.34	47.28
X.59E-25	80.55	11.58	0.369	0.07	0.93	0.29	120.44
X.60B-9	24.1	31.72	0.484	6.59	0	1.81	408.26
X.60B-9-replicate	24.1	31.72	0.484	6.59	0	1.81	408.26
X.60B-13	37.3	30.67	0.549	14.45	0	0.85	387.26
X.60B-28	84.4	25.49	0.13	3.56	0.01	0.88	338.06
X.63E-6-A	11.35	12.3	1.721	0.07	2.33	4.73	164.98
X.63E-6-B	11.35	12.3	1.721	0.07	2.33	4.73	164.98
X.63E-28	47.35	1.67	0.532	0.12	9.4	0.07	8
X.65C-4	10.1	13.86	2.832	0.07	9.2	3.69	185.34
X.65C-4-replicate	10.1	13.86	2.832	0.07	9.2	3.69	185.34
X.65C-10	29.9	1.72	0.511	0.22	1.4	0.08	12.91
